Name of Program,Place,University,When,Language,Duration,Credits,Fee,Registration deadline,Course leader,Target group,Course aim,Fee info,Scholarships,Credits info
Experimental Interaction Design,"Tallinn, Estonia",Tallinn Summer School,22 July 2024 - 2 August 2024,English,2 weeks,4 EC,EUR 400,15 June 2024,"Vladimir Tomberg, PhD, Associate Preofessor of Interaction design and Senior Research Fellow in Tallinn University; Tanel Toova, an ICT engineer and a system administrator in the School for Digital Technologies at Tallinn University.","This course targets all sorts of ICT (Information and Communications Technologies) and non-ICT professionals and higher education students (Master’s, PhD) and provides interaction design understanding and skills to new but highly interested audiences. Examples include, but are not limited to, service providers, communicators, health professionals, educators, architects, designers, artists, and actors.",The main goal of the course is to empower people to shape their digital environment thus providing a new level of digital literacy.,"EUR 400: Early-Bird Course Fee until 31 March 2024. NB! Accommodation, cultural programme and meals are not included in the price. EUR 450: Regular Course Fee after 31 March 2024. NB! Accommodation, cultural programme and meals are not included in the price.",,4 EC Upon full participation and completion of course work students will be awarded 4 ECTS points and a diploma of completion.
Data Visualisation & Storytelling: Transform The Way You Communicate With Data,"Maastricht, Netherlands",Maastricht Summer School,8 July 2024 - 12 July 2024,English,1 week,2 EC,EUR 599,8 June 2024,Felipe Rego,Enrolled as an Undergraduate student or Undergraduate diploma,"• Foundations of Data Visualisation: Discover the principles of effective data visualisation, from understanding data types to selecting the right visualisation techniques. • Storytelling for Impact: Learn the art of crafting compelling narratives from data insights that resonate with stakeholders. • Tools and Technologies: Gain hands-on experience with leading data visualisation tools and software to bring your ideas to life. • Real-World Applications: Explore case studies and practical exercises that bridge theory and practice, preparing you to apply your skills in professional scenarios. • Career Advancement Strategies: Understand how mastering data visualisation and storytelling can unlock new career opportunities, enhance your professional profile, and make you an asset in any industry. • Networking Opportunities: Connect with like-minded individuals, industry experts, and potential mentors, expanding your professional network and learning from those who have already harnessed these skills for career success.",EUR 599: Tuition fee,,
CyberSecurity for the Energy Domain,"Funchal, Madeira island, Portugal",CyberSecPro Summer School 2024,21 June 2024 - 23 June 2024,English,1 week,,EUR 500,31 March 2024,CyberSecPro EU Project,"Cybersecurity students, Energy sector stakeholders and company personnel","Delve into safeguarding critical energy infrastructure from evolving cyber threats. In an era of digital transformation, the energy sector faces unprecedented challenges, making robust cybersecurity measures essential. Our program explores the unique cyber threats specific to the energy industry, strategies for building resilience in energy systems, and the secure integration of advanced technologies. The first day will be dedicated to a more generic hands-on workshop, although never straying away from the three main domains, while the second day will have parallel tracks for each of the domains. The third day will hold a full hands-on Hackathon specifically catered for Health, Maritime and Energy stakeholders and experts that do not possess specific expertise in cybersecurity.",EUR 500: Early Bird Fee - More information @ https://cybersecpro.digit-madeira.pt/index.html#pricing EUR 550: Regular Fee - More information @ https://cybersecpro.digit-madeira.pt/index.html#pricing,,
CyberSecurity for the Healthcare Sector,"Funchal, Madeira island, Portugal",CyberSecPro Summer School 2024,21 June 2024 - 23 June 2024,English,1 week,,EUR 500,31 May 2024,CyberSecPro EU Project,"Cybersecurity students, Healthcare experts, Healthcare sector stakeholders","Explore the critical nexus of healthcare and cybersecurity. In an era where technological advancements redefine patient care, our program delves into safeguarding healthcare systems from evolving cyber threats. Participants will gain insights into health-specific challenges, strategies for cyber resilience, patient data protection and secure integration of emerging technologies. The first day will be dedicated to a more generic hands-on workshop, although never straying away from the three main domains, while the second day will have parallel tracks for each of the domains. The third day will hold a full hands-on Hackathon specifically catered for Health, Maritime and Energy stakeholders and experts that do not possess specific expertise in cybersecurity.",EUR 500: Early Bird Fee - More information @ https://cybersecpro.digit-madeira.pt/index.html#pricing EUR 550: Regular Fee - More information @ https://cybersecpro.digit-madeira.pt/index.html#pricing,,
Data Analysis in R,"Amsterdam, Netherlands",VU Amsterdam Summer School,8 July 2024 - 19 July 2024,English,2 weeks,3 EC,EUR 1310,1 May 2024,Dr Meike Morren,"The course is highly intensive both in programming and statistics, which means it will be challenging to those who lack knowledge in both fields. Preferably, you have completed an undergraduate course in statistics, an acquaintance with basic linear algebra, the fundamentals of hypothesis testing, linear regression analysis and statistical tests such as the t-test. Although we will briefly go over these topics again to refresh your memory, we do not recommend this course to those who learn will these concepts for the first time. For people with programming experience (other languages such as Python), it might be possible to step in with little prior knowledge of statistics.","By the end of this course, students will be able to: - Evaluate the quality of quantitative data sources - Choose the appropriate method for analysis, depending on the data source - Conduct various statistical tests - Analyse data using generalised linear framework - Analyse multi-item scales using principal components and factor analysis - Have developed their skills in R programming",EUR 1310: Tuition fees two-week course VU Students/PhD candidates and employees of VU Amsterdam* or an Aurora Network Partner €735 Students at Partner Universities of VU Amsterdam €995 Students and PhD candidates at non-partner universities of VU Amsterdam €1100 Professionals €1310 Early Bird offer Applications received before 15 March (14 March CET 23:59) receive €50 Early Bird discount!,We offer two types of scholarships for our summer school. Check out our website for more information.,3 EC Contact hours: 45
Science and Technology Communication in Theory and Practice,"Copenhagen, Denmark",UCPH International Summer programme,8 July 2024 - 16 August 2024,English,6 weeks,7.5 EC,DKK 6375.00,1 April 2024,,Master,"Knowledge: - You will be able to account for key methods and theories in the study of science communication, including models of communication, scientific knowledge, audience reception, and analytical frames. Skills: - You will be able to create science communication products which utilise specific formats to communicate scientific knowledge to defined audiences. Competencies: - You will be able to critically examine instances of science communication by drawing on appropriate theories and methods in the field. - You will be able to communicate such assessment and analysis with precision and in terms relevant to the academic debate in the field.",DKK 6375: EU/EEA citizens DKK 10025: Non-EU/EEA citizens,,
Computer Vision in Space,"Tartu, Estonia",UniTartu Summer School,28 July 2024 - 10 August 2024,English,2 weeks,3 EC,EUR 700,30 April 2024,"Ric Dengel, University of Tartu",MA/PhD and advanced BA,1. Develop a strategy to solve a specific computer vision problem based on known algorithms and deployment on an applicable processing platform. 2. Understand and analyse different processing architectures for space computer vision applications. 3. Demonstrate the ability to deploy different algorithms on a space processing platform. 4. Demonstrate and apply knowledge of computer vision techniques towards space applications. 5. Understand the trade-off between different geometrics and non-geometric approaches in computer vision methods.,EUR 700: Course fee EUR 227: Accommodation in the student dormitories for 13 nights.,Find out about the scholarships on our website.,
Game Design,"Turku, Finland",Turku Åbo Summer School,5 August 2024 - 16 August 2024,English,2 weeks,5 EC,EUR 75,14 April 2024,"University of Turku Jouni Smed, University lecturer; Iris Moreno Fernandez, Teacher",Undergraduate students with at least two years completed of Bachelor’s studies in any field.,"By the end of the course the student -understands the role and requirements of a game designer in the overall game development process -is capable of taking a specialized role in designing user interfaces, core mechanics or levels -can set up and manipulate the internal economy of a game and knows how to use it in game balancing or tweaking the difficulty and gameplay progression -knows how to work with an in-house or outside customer to create a design -can develop iteratively a game design from an idea through a concept into a game design document","EUR 75: The course fee includes: - Registering to the course and customer service - Teaching, study facilities in Turku",,
Machine Learning with R - Advanced,"St. Gallen, Switzerland",GSERM - Global School in Empirical Research Methods,10 June 2024 - 14 June 2024,English,1 week,4 EC,CHF 1100.00,30 April 2024,Brett Lantz,Master | PhD | Postdoc | Professional,,CHF 1100: Master | PhD CHF 2000: Postdoc | Professional,,
CyberSecurity for the Maritime Industry,"Funchal, Madeira island, Portugal",CyberSecPro Summer School 2024,21 June 2024 - 23 June 2024,English,1 week,,EUR 500,31 May 2024,CyberSecPro EU Project,"Cybersecurity students, Maritime domain stakeholders and company personnel","Embark on a transformative journey into the cybersecurity challenges of the maritime sector. As vessels become more digitally integrated, the need for robust cybersecurity measures is paramount. Our program focuses on understanding and mitigating maritime-specific cyber threats, building resilience at sea, securing navigation systems, and ensuring compliance with industry regulations. The first day will be dedicated to a more generic hands-on workshop, although never straying away from the three main domains, while the second day will have parallel tracks for each of the domains. The third day will hold a full hands-on Hackathon specifically catered for Health, Maritime and Energy stakeholders and experts that do not possess specific expertise in cybersecurity.",EUR 500: Early Bird Fee - More info @ https://cybersecpro.digit-madeira.pt/#pricing EUR 550: Regular Fee - More info @ https://cybersecpro.digit-madeira.pt/#pricing,,
Data Analytics with KNIME,"Porto, Portugal","Universidade Católica Portuguesa, Porto",29 July 2024 - 2 August 2024,English,1 week,3 EC,EUR 350,30 April 2024,"The syllabus has been designed and structured to be gradually more complex, allowing the students to better understand and connect the concepts learned.","This Training academy is targeted for university students or Executive Education students and professionals in quantitative scientific fields that are not familiar with programming languages but are interested in developing technical skills in data mining, particularly: Students and professionals from STEM and non-STEM areas, with a basic analytical background, who are interested in data mining. Data/Business analysts interested in consolidating their knowledge in business analytics; Software engineers interested in the development of machine learning models and pipelines. As entry requirements, it is assumed that the student has basic knowledge of manipulating and statistically exploring datasets using conventional spreadsheets.","The program starts by introducing the fundamentals of Analytics and its applications, as well as the KNIME Analytics platform and its main functionalities, so as to provide context and motivation for the students. The remainder of the program is structured in three main parts. Firstly, the students are introduced to descriptive analytics, in which they are exposed to and apply exploratory data analysis techniques, including pre-processing and transformation of variables in a data frame. Unsupervised learning techniques are also explored and applied, namely in the context of dimensionality reduction, clustering, and association. Secondly, the program covers the area of predictive analytics, with particular emphasis on understanding, implementing, and evaluating regression and classification models. Finally, some topics on the analysis, modelling and forecasting of uni/multivariate time series are covered, using statistical and machine learning techniques. The teaching methodology follows a strategy with a strong practical component, in which the introduction of the various contents is supported by the discussion and resolution of case studies. Here, students are expected to develop, test, and critically analyse data pipelines based on real datasets of different size and structure.",EUR 350: Accommodation is not included EUR 315: Partner Universities students - €315 Accommodation is not included,,
"Generative AI for Text, Audio and Images","St. Gallen, Switzerland",GSERM - Global School in Empirical Research Methods,17 June 2024 - 21 June 2024,English,1 week,4 EC,CHF 1100.00,30 April 2024,Korbinian Riedhammer | Damian Borth,Master | PhD | Postdoc | Professional,,CHF 1100: Master | PhD CHF 2000: Postdoc | Professional,,
Python from Zero to Hero Part 1,"Maastricht, Netherlands",Maastricht Summer School,10 June 2024 - 14 June 2024,English,1 week,2 EC,EUR 599,10 May 2024,Dr. Thomas Frissen,"This course is the first module of a Maastricht Summer School series on Python for (scientific) research. It organically prepares participants for the skills and knowledge taught in the part 2 course. Both modules can be followed independently. In case participants wish to follow only this first part of the series, no prior knowledge of the Python Programming Language is required. Participants would benefit from prior experience in research skills and basis knowledge.","• Building a solid foundation for Python programming and getting well-prepared for further projects or advanced activities in Python. • Getting an immersive introduction to Python as a programming language. • Developing an in-depth and hands-on understanding of the different Pythonic concepts, including (but not limited to): - Variables, data types, data structures, and operators - Control Structures (e.g., if-else statements) and Loops (e.g., for-loops and while-loops) - Functions and Modules • Building a capacity to integrate these concepts into your Python application for web scraping. • Getting familiar with a digital and pythonic workflow, including file handling. • Developing basic knowledge of HTML and web scraping.",EUR 599: Tuition fee,,
Learn Software Design Using C++ From the Inventor of C++,"Aarhus, Denmark",AU Summer University,2 July 2024 - 2 August 2024,English,5 weeks,5 EC,EUR 352,9 August 2024,Bjarne Stroustrup,Bachelor's level,,EUR 352: EU/EEA citizens EUR 1339: NON EU/EEA citizens,No scholarships available,
Designing Secured and Reliable Computer Networks,"Wrocław, Poland",Wrocław University of Science and Technology Summer School,8 July 2024 - 26 July 2024,English,3 weeks,4 EC,EUR 1200,15 May 2024,Wrocław University of Science and Technology,Students with competence in basics of technology,The creation of networks resistant to various types of failures.,"EUR 1200: regular price EUR 1100: early bird, partnership discount",,
Data Science and Big Data Analysis (Level 2),"London, United Kingdom",UCL Summer School,24 June 2024 - 12 July 2024,English,3 weeks,7.5 EC,GBP 2585,1 June 2024,"Dr Nilofar Abourashchi. Dr Matina Rassias, Dr Thomas Honnor","This is a level two module (equivalent to second year undergraduate). In addition to the standard UCL Summer School entry criteria, applicants will be expected to have successfully completed at least one undergraduate level module in statistics and experience of using statistical computer software.","Upon successful completion of this module, students will: describe and explain key concepts, skills and tools used in the field of data science to deal with big data problems. demonstrate how to work with different data sources and formats, and generate suitable R code to perform advanced data manipulation. apply suitable range of techniques to explore and visualise large and complex datasets taken from a range of contexts and research areas. construct statistical models for regression and classifications, including methods such as multivariate regression, KNN, LDA and decision tree analysis. select appropriate methods to validate, optimise and measure the performance of different statistical methods and be able to assess, evaluate and summarise the results.",GBP 2585: Students joining us for six weeks (two modules) will receive a tuition fee discount. GBP : Students have the option of staying in UCL Accommodation close to campus in vibrant central London.,,7.5 EC 7.5 ECTS / 4 US / 15 UCL
Introduction to Data Science,"Maastricht, Netherlands",Maastricht Summer School,17 June 2024 - 18 June 2024,English,1 week,3 EC,EUR 899,17 May 2024,Dr. Visara Urovi,"Familiarity with datasets (e.g., in Excel) and student should be Tech-savvy",• Becoming familiar with the data science lifecycle. • Use Python as a programming language to perform data analysis tasks. • Becoming familiar with the data manipulation process and how to achieve this in Python. • Understand basic machine learning algorithms and their application. • Understand data interpretation and visualization tools. • Understanding responsible principles in data science projects.,EUR 899: Tuition fee EUR 720: Tuition for students of Maastricht University and ‘‘Women in Data Science’‘ participants upon proof.,No scholarships are available for this course.,
"Software Testing, Verification & Validation","Bergamo, Italy",TAROT summer school,8 July 2024 - 12 July 2024,English,1 week,3 EC,EUR 190,3 June 2024,,PhD students or Master students or young researchers working on software testing,"The main goal of the TAROT Summer School is to give researchers and particularly Ph.D. students the opportunity to follow a number of tutorials or invited talks by key experts in the field. The TAROT Summer School is open to researchers from any institution in the world, working in the area of testing, both from academia and industry.",EUR 190: early registration,,
Creative Coding,"Amsterdam, Netherlands",VU Amsterdam Summer School,8 July 2024 - 19 July 2024,English,2 weeks,3 EC,EUR 1310,1 May 2024,Dr. Mauricio Verano Merino,,,EUR 1310: Tuition fees two-week course VU Students/PhD candidates and employees of VU Amsterdam* or an Aurora Network Partner €735 Students at Partner Universities of VU Amsterdam €995 Students and PhD candidates at non-partner universities of VU Amsterdam €1100 Professionals €1310 Early Bird offer Applications received before 15 March (14 March CET 23:59) receive €50 Early Bird discount!,VU Amsterdam Summer School offers two kinds of scholarships: the Equal Access Scholarship and the Photographer Scholarship. More information can be found on the VU Amsterdam Summer School website.,
