Name of Program,Place,University,When,Language,Duration,Credits,Fee,Registration deadline,Course leader,Target group,Course aim,Fee info,Scholarships,Credits info
Cybersécurité pour le domaine de l'énergie,"Funchal, île de Madère, Portugal",École d'été CyberSecPro 2024,21 juin 2024-23 juin 2024,anglais,1 semaine,,500 EUR,31 mars 2024,Projet CyberSecPro UE,"Étudiants en cybersécurité, acteurs du secteur de l'énergie et personnel de l'entreprise","Notre programme explore les cybermenaces uniques propres à l'industrie de l'énergie, les stratégies de renforcement de la résilience dans les systèmes énergétiques et l'intégration sécurisée des technologies de pointe. La première journée sera consacrée à un atelier plus générique, bien qu'il ne s'écarte jamais des trois principaux domaines, tandis que la deuxième journée aura des pistes parallèles pour chacun des domaines. La troisième journée sera consacrée à un Hackathon complet spécifiquement destiné aux intervenants et experts de la santé, des affaires maritimes et de l'énergie qui ne possèdent pas d'expertise spécifique en cybersécurité.",500 EUR: frais pour les oiseaux précoces - Plus d'informations @ https://cybersecpro.digital-madeira.pt/index.html#pricing 550 EUR: frais réguliers - Plus d'informations @ https://cybersecpro.digital-madeira.pt/index.html#pricing,,
Modélisation des expériences temporelles modifiées dans les collectifs humains et hybrides,"Chios, Grèce",1ère école d'été TRF sur la modélisation des expériences de temps modifiées dans les collectifs humains et hybrides,23 juillet 2024 - 28 juillet 2024,anglais,1 semaine,,,15 mars 2024,Argiro Vatakis,"Des équipes multidisciplinaires de niveau doctoral et de début de carrière en psychologie, en neurosciences, en robotique et en sciences informatiques s'associent pour relever ces défis et faire progresser nos connaissances sur le timing. Nous recherchons donc un joli mélange de personnes de différentes disciplines avec une ou plusieurs connaissances supérieures en Python ou Matlab.",Faire progresser notre compréhension du timing dans la vie quotidienne et manipuler le temps pour un meilleur bien-être et moins de stress.,0 EUR: s/o 0 EUR: s/o,s.o.,
"Essai, vérification et validation du logiciel","Bergame, Italie",École d'été TAROT,8 juillet 2024-12 juillet 2024,anglais,1 semaine,3 CE,190 EUR,3 juin 2024,,Les doctorants ou les étudiants en Master ou les jeunes chercheurs travaillant sur les tests logiciels,"L'objectif principal de l'école d'été TAROT est de donner aux chercheurs et en particulier aux étudiants en doctorat la possibilité de suivre un certain nombre de tutoriels ou de conférences invitées par des experts clés dans le domaine. L'école d'été TAROT est ouverte aux chercheurs de n'importe quelle institution dans le monde, travaillant dans le domaine des tests, à la fois du milieu universitaire et de l'industrie.",190 EUR: enregistrement précoce,,
La vision de l'ordinateur dans l'espace,"Tartu, Estonie",École d'été UniTartu,28 juillet 2024 - 10 août 2024,anglais,2 semaines,3 CE,700 EUR,30 avril 2024,"Ric Dengel, Université de Tartu",MA/PhD et BA avancé,1. Élaborer une stratégie pour résoudre un problème de vision informatique spécifique basé sur des algorithmes connus et le déploiement sur une plate-forme de traitement applicable. 2. Comprendre et analyser différentes architectures de traitement pour les applications de vision informatique spatiale. 3. Démontrer la capacité de déployer différents algorithmes sur une plate-forme de traitement spatial. 4. Démontrer et appliquer la connaissance des techniques de vision informatique aux applications spatiales. 5. Comprendre le compromis entre les différentes approches géométriques et non géométriques dans les méthodes de vision informatique.,700 EUR: Frais de cours 227 EUR: Hébergement dans les dortoirs étudiants pour 13 nuits.,Découvrez les bourses sur notre site Web.,
Conception d'interaction expérimentale,"Tallinn, Estonie",École d'été de Tallinn,22 juillet 2024 - 2 août 2024,anglais,2 semaines,4 CE,400 EUR,15 juin 2024,"Vladimir Tomberg, Ph.D., préfessor associé de la conception d'interaction et chercheur principal à l'Université de Tallinn; Tanel Toova, ingénieur en TIC et administrateur système à l'École des technologies numériques de l'Université de Tallinn.","Ce cours s'adresse à toutes sortes de professionnels des TIC (technologies de l'information et des communications) et non-TIC et aux étudiants de l'enseignement supérieur (maîtrise, doctorat) et fournit une compréhension et des compétences en matière de conception d'interactions à des publics nouveaux mais très intéressés.","L'objectif principal du cours est de donner aux gens les moyens de façonner leur environnement numérique, ce qui leur permet d'acquérir un nouveau niveau de connaissances numériques.","400 EUR: Frais de cours d'été jusqu'au 31 mars 2024. NB! L'hébergement, le programme culturel et les repas ne sont pas inclus dans le prix. 450 EUR: Frais de cours réguliers après le 31 mars 2024. NB! L'hébergement, le programme culturel et les repas ne sont pas inclus dans le prix.",,"4 EC Après la pleine participation et l'achèvement des cours, les étudiants recevront 4 points ECTS et un diplôme d'achèvement."
Détection à distance et traitement des images par microscopie,"Veszprém, Hongrie",École d'été sur la télédétection et le traitement des images par microscopie,29 juillet 2024-2 août 2024,anglais,1 semaine,8 CE,330 EUR,1er juillet 2024,"Zoltan Kato, SZTE Xavier Descombes, INRIA László Czúni, PE Csaba Benedek, SZTAKI",Étudiants diplômés et doctorants intéressés par le traitement de l'image.,"La Summer School on Remote Sensing and Microscopy Image Processing vise à offrir une opportunité stimulante aux étudiants diplômés et doctorants intéressés par le traitement de l'image. La SSRM se tiendra du 29 juillet au 2 août 2024, à Veszprém, en Hongrie, hébergée par l'Université de Pannonie. Les participants bénéficieront d'une interaction directe avec des chercheurs de renommée internationale dans divers domaines du traitement de l'image et de la vision informatique appliquée à la télédétection et à la microscopie ainsi que d'une interaction avec d'autres participants du monde entier. Les étudiants auront également la possibilité de présenter leurs recherches.","330 EUR: Les membres de l'IEEE et de l'EURASIP bénéficieront d'une réduction substantielle, d'environ 50 %, sous réserve du parrainage de ces organisations",,
Czech it Out 2024,"Hradec Králové, République tchèque",Université de Hradec Králové,6 juillet 2024-7 août 2024,anglais,5 semaines,6 CE,600 EUR,30 juin 2024,Helena Holubičková E-mail: helena.holubickova@uhk.cz Toutes les informations sont disponibles sur notre site web,étudiants internationaux Horaire hebdomadaire Lundi: 2x4 heures matin et bloc de l'après-midi - cours généraux Mardi: 2x4 heures matin et bloc de l'après-midi - cours généraux Mercredi: visite de l'entreprise Jeudi: 2x4 heures matin et bloc de l'après-midi - matières optionnelles (deux matières; choix de l'étudiant de huit matières optionnelles) Vendredi: conférence académique (4 heures) Samedi: visite guidée d'une journée optionnelle,"Principaux flux - chaque 64 heures, l'étudiant choisit un courant général, le flux peut ne pas être ouvert en cas de faible intérêt MIT1 Cybersécurité - Introduction à la cybersécurité MIT2 Smart concepts of networking and virtualization - Virtualization Platform VMware and Hyper - Smart Online Cooperation, Communication and Tools - Introduction to computer networks – smart concepts of network communication MIT3 Smart Programming MIT4 Data Science - Data Visualization - Practical Statistics for data Science in R - Machine Learning BIS1 Études interculturelles et tourisme - Études interculturelles - Services Marketing - Études culturelles BIS2 Études marketing et culturelles - Méthodes de gestion - Ventes et publicité - Intercultural Business Communication BIS3 AI in education BIS4 Boosting Your Academic Skills Sujets optionnels - chaque 16 heures, l'étudiant sélectionne deux sujets, le sujet peut ne pas être ouvert en cas de faible intérêt.",600 EUR: frais de scolarité 390 EUR: hébergement,,
Cyber en Normandie - Aperçu global de la cybersécurité,"CAEN, France",ENSICAEN - École d'été Cyber en Normandie,24 juin 2024 - 5 juillet 2024,anglais,2 semaines,4 CE,800 EUR,29 mars 2024,Pr. Audun JØSANG Dr. Jorge BLASCO ALÍS Dr. Matthew SORELL Pr Pierangella SAMARATI Dr. Gencer ERDOGAN M. Per THORSHEIM Dr. Adeline ROUX LANGLOIS Pr. Christophe ROSENBERGER,"Si vous êtes un étudiant en master/PhD, ou un jeune chercheur qui veut vivre une expérience mémorable en Cybersécurité dans un grand endroit de France, Cyber Normandie 2024 est pour vous!","En tant que participant, vous pourrez assister à des conférences de chercheurs de haut niveau en cybersécurité. Vous pourrez également travailler sur des sujets de cybersécurité donnés par des entreprises françaises dans le cadre de travaux de groupe. Vous pourrez également profiter de la qualité de vie en Normandie à travers des événements sociaux. 1 - Introduction à la cryptographie (basée sur des réseaux) - Dr. Adeline ROUX-LANGLOIS 2 - Modélisation des risques humains et organisationnels en cybersécurité - Dr. Gencer RDOGAN 3 - Introduction à la médecine légale du téléphone mobile- Dr. Matthew SORELL 4 - Défis et opportunités en sécurité mobile - Dr. Jorge BLASCO ALIS 5 - Mot de passe, épingles et authentification numérique - Passé, présent et futur? - M. Per THORSHEIM 6 - Protection de la vie privée dans la publication et la diffusion des données - Pr. Pierangella SAMARATI 7 - Cyber Threat Intelligence - Pr. Audun Jøsang 8 - Fondations et tendances en biométrie - Pr. Christophe ROSENBERGER","800 EUR: Les frais comprennent l'accès aux conférences et aux défis pratiques, le petit déjeuner et le déjeuner pendant 2 semaines, la salle de dortoir et les événements sociaux.",,
Programmation avancée,"Barcelone, Espagne",UAB école d'été de Barcelone,15 juillet 2024 - 2 août 2024,anglais,3 semaines,6 CE,910 EUR,2 juin 2024,Vicenç Soler Ruiz. Professeur du sujet de la programmation avancée depuis 2002 à l'Université Autònoma de Barcelone/ Université autonome de Barcelone (UAB),"Il est orienté vers les étudiants de n'importe quel diplôme (mathématiques, physique, ingénierie, chimie, etc.; pas nécessairement l'informatique) qui ont déjà commencé la programmation et veulent améliorer leurs connaissances et compétences.","L'objectif principal du sujet est l'amélioration des compétences et des connaissances en programmation des étudiants et, pour cette raison, ce cours est axé sur la pratique. L'évaluation est basée sur le développement de deux jeux: l'un en C et l'autre en Java ou Python (à choisir par l'étudiant). Le développement de jeux, comme base pour les pratiques du sujet, fournit l'obligation d'utiliser de nombreux aspects différents des langages de programmation et rend le sujet plus attrayant. Un second objectif est d'atteindre un bon niveau en Programmation orientée objet (avec Java et Python) et aussi comment structurer et développer une application en utilisant OOP. Les concepts enseignés dans cette partie (définition de classe, héritage, surcharge, dépassement, etc.) peuvent être utilisés comme base pour l'apprentissage de n'importe quel autre langage orienté objet (par exemple C++).","EUR 910: Le prix du cours pour les étudiants internationaux et nationaux (étudiants non-UAB) est de € 910, mais ceux qui s'inscrivent avant le 15 mai obtiendront 20% de réduction.","Non, mais il y a 20% de réduction sur les frais de scolarité si les étudiants potentiels s'inscrivent avant le 15 mai.","6 CE Toutes les matières sont accréditées avec 6 ECTS (European Credit Transfer and Accumulation System) que votre université pourrait transférer à votre propre programme de diplôme (selon la réglementation de votre université d'origine), en particulier si elle a un programme de mobilité en place avec l'UAB."
Appliquer l'éthique dans l'innovation numérique,"Utrecht, Pays-Bas",École d'été d'Utrecht,19 août 2024-23 août 2024,anglais,1 semaine,2 CE,499 EUR,1er juillet 2024,Dr. ir. Marlies van Steenbergen,Les étudiants ou praticiens qui sont impliqués ou intéressés par la numérisation et veulent en savoir plus sur l'impact de la numérisation sur les valeurs humaines et comment en tenir compte lors de la conception et de la mise en œuvre de solutions numériques.,"Fournir aux participants des idées et une expérience pratique en matière de reconnaissance, de traitement et de traitement des questions morales liées à l'innovation numérique.",499 EUR: Cours + matériel de cours 250 EUR: Frais de logement (facultatif),,
Visualisation des données et contes: Transformez la façon dont vous communiquez avec les données,"Maastricht, Pays-Bas",École d'été de Maastricht,8 juillet 2024-12 juillet 2024,anglais,1 semaine,2 CE,599 EUR,8 juin 2024,Felipe Rego,Inscription en tant qu'étudiant de premier cycle ou diplôme de premier cycle,"• Fondations de la visualisation des données : découvrez les principes d'une visualisation efficace des données, de la compréhension des types de données à la sélection des bonnes techniques de visualisation. • Storytelling for Impact : découvrez l'art d'élaborer des récits convaincants à partir d'analyses de données qui résonnent avec les parties prenantes. • Outils et technologies : Acquérir de l'expérience pratique avec des outils et des logiciels de visualisation des données de pointe pour donner vie à vos idées. • Real-World Applications : Explorez des études de cas et des exercices pratiques qui font le lien entre la théorie et la pratique, vous préparant à appliquer vos compétences dans des scénarios professionnels. • Stratégies d'avancement de carrière : comprenez comment la maîtrise de la visualisation des données et de la narration de données peut ouvrir de nouvelles perspectives de carrière, améliorer votre profil professionnel et vous faire un atout dans n'importe quelle industrie. • Possibilités de réseautage : Connectez-vous avec des individus, des experts de l'industrie et des mentors potentiels, élargissant votre réseau professionnel et apprendre auprès de ceux qui ont déjà mis ces compétences à profit pour la réussite de carrière.",EUR 599: Frais de scolarité,,
Analyse des données avec KNIME,Porto (Portugal),"Universidade Católica Portuguesa, Porto",29 juillet 2024-2 août 2024,anglais,1 semaine,3 CE,350 EUR,30 avril 2024,"Le programme a été conçu et structuré de manière à être progressivement plus complexe, ce qui permet aux élèves de mieux comprendre et relier les concepts appris.","Cette école de formation s'adresse aux étudiants universitaires ou aux étudiants de l'enseignement supérieur et aux professionnels des domaines scientifiques quantitatifs qui ne sont pas familiers avec les langages de programmation mais qui sont intéressés à développer des compétences techniques dans le domaine de l'extraction de données, en particulier : les étudiants et les professionnels des domaines STEM et non STEM, avec une formation analytique de base, qui sont intéressés par l'extraction de données.","Le programme commence par introduire les fondamentaux de l'Analytique et de ses applications, ainsi que la plateforme KNIME Analytics et ses principales fonctionnalités, afin de fournir un contexte et une motivation aux étudiants. Le reste du programme est structuré en trois parties principales. Premièrement, les étudiants sont introduits dans l'analyse descriptive, dans laquelle ils sont exposés et appliquent des techniques d'analyse de données exploratoires, y compris le prétraitement et la transformation des variables dans un cadre de données. Les techniques d'apprentissage non supervisées sont également explorées et appliquées, à savoir dans le contexte de la réduction de dimensionnalité, du regroupement et de l'association. Deuxièmement, le programme couvre le domaine de l'analyse prédictive, en mettant particulièrement l'accent sur la compréhension, la mise en œuvre et l'évaluation des modèles de régression et de classification.",350 EUR: L'hébergement n'est pas inclus 315 EUR: Étudiants des universités partenaires - 315 € L'hébergement n'est pas inclus,,
Apprendre à concevoir des logiciels en utilisant C++ depuis l'inventeur de C++,"Aarhus, Danemark",Université d'été de l'UA,2 juillet 2024 - 2 août 2024,anglais,5 semaines,5 CE,352 EUR,9 août 2024,Bjarne Stroustrup,Niveau de baccalauréat,,352 EUR: citoyens de l'UE/EEE 1339 EUR: citoyens de l'extérieur de l'UE/EEE,Pas de bourses disponibles,
Programmation fonctionnelle avancée à Haskell,"Utrecht, Pays-Bas",École d'été d'Utrecht,8 juillet 2024-12 juillet 2024,anglais,1 semaine,"1,5 CE",750 EUR,1er juin 2024,Gabriele Keller,"Le cours est destiné aux étudiants (avancés) BSc ou MSc, (professionnels) développeurs, ou toute personne ayant un intérêt pour la programmation fonctionnelle à Haskell.","Les participants apprendront un paradigme de programmation moderne. Les connaissances acquises permettront non seulement aux participants de contribuer à la programmation de projets utilisant Haskell – elles leur permettront également d'appliquer les concepts qu'ils ont appris à d'autres projets, en les rendant meilleurs programmeurs dans n'importe quelle langue.",750 EUR: Cours + matériel de cours 200 EUR: Frais de logement (facultatif),"Nous facturons des frais d'inscription de 750 euros (ou 250 euros pour les étudiants) pour couvrir nos dépenses. Si cela vous pose problème pour quelque raison que ce soit, veuillez envoyer un e-mail aux organisateurs et nous pouvons essayer de vous offrir un tarif réduit ou une dispense de frais.",
Obtenir International @ HFT Stuttgart / Allemagne,Stuttgart (Allemagne),HFT École d'été de Stuttgart 2024,1er août 2024 - 16 août 2024,anglais,3 semaines,2 CE,EUR 990,31 mai 2024,Membres du personnel de la Hochschule für Technik University of Applied Sciences Stuttgart,"Notre école d'été interdisciplinaire accueille tous les étudiants: - étudiants internationaux du monde entier, d'universités partenaires et d'universités non partenaires - étudiants de HFT Stuttgart - étudiants B.A. et M.A. de tous les programmes d'études dans les domaines d'études.",,"EUR 990: - Etudiants d'une université partenaire de HFT Stuttgart: 990€ - Etudiants d'une université qui n'est pas partenaire de HFT Stuttgart: 1.090€ - Etudiants de HFT Stuttgart: 120€ (logement et transports en commun dans la zone de Stuttgart non inclus) Le prix pour les étudiants internationaux (étudiants non-HFT) comprend: - Hébergement dans une chambre individuelle avec salle de bain partagée, y compris le petit déjeuner à l'Hôtel international d'étudiants Stuttgart pour 15 nuits - Cours de langue allemande, atelier de gestion de projet, supervision du travail en groupe et des visites d'entreprise - Programme culturel à Stuttgart et dans les environs, visite de la ville de Stuttgart, deux excursions/journées dans les villes du sud de l'Allemagne (bus, train, visites guidées, frais d'entrée) - Restauration à l'accueil et aux adieux - Transport public à Stuttgart (02.-16.08.) - Frais d'administration du programme","10 bourses de 400€ chacune seront attribuées à des étudiants internationaux des universités partenaires HFT (soyez rapides, parce que ""premier arrivé, premier servi"": Bourses sont accordées dans l'ordre dans lequel les demandes sont reçues)","2 Certificat CE de participation et 2 points de crédit avec participation réussie, aucun classement possible"
Analyse des données en R,"Amsterdam, Pays-Bas",VU École d'été d'Amsterdam,8 juillet 2024 - 19 juillet 2024,anglais,2 semaines,3 CE,EUR 1310,1er mai 2024,Dr Meike Morren,"De préférence, vous avez suivi un cours de premier cycle en statistique, une connaissance de l'algèbre linéaire de base, les fondamentaux des tests d'hypothèses, l'analyse de régression linéaire et les tests statistiques comme le t-test. Bien que nous allons revenir brièvement sur ces sujets pour vous rafraîchir la mémoire, nous ne recommandons pas ce cours à ceux qui apprennent ces concepts pour la première fois. Pour les personnes ayant une expérience de programmation (autres langues comme Python), il pourrait être possible d'intervenir avec peu de connaissances préalables en statistique.","D'ici la fin de ce cours, les étudiants pourront: - évaluer la qualité des sources de données quantitatives - choisir la méthode appropriée pour l'analyse, en fonction de la source de données - effectuer divers tests statistiques - analyser les données à l'aide d'un cadre linéaire généralisé - analyser les échelles multi-éléments à l'aide des composantes principales et de l'analyse des facteurs - avoir développé leurs compétences dans la programmation R",EUR 1310: Frais de scolarité cours de deux semaines VU Étudiants / candidats au doctorat et employés de VU Amsterdam* ou d'un partenaire du réseau Aurora 735 € Les étudiants des universités partenaires de VU Amsterdam 995 € Les étudiants et les candidats au doctorat dans les universités non partenaires de VU Amsterdam 1100 € Les professionnels 1310 € Offre Early Bird Les candidatures reçues avant le 15 mars (14 mars CET 23:59) reçoivent 50 € de réduction Early Bird!,Nous offrons deux types de bourses pour notre école d'été. Consultez notre site Web pour plus d'informations.,3 heures de contact CE: 45 heures
Physique (août),Londres (Royaume-Uni),École d'été mondiale du Collège Impérial,5 août 2024 - 16 août 2024,anglais,2 semaines,,6 600 livres sterling,17 mai 2024,"Département de mathématiques et Département de physique, Imperial College London.",16 - 17,"Vous aurez la chance de porter vos connaissances sur le sujet à un niveau supérieur grâce à un programme académique stimulant qui équilibre les conférences, les séminaires et un niveau élevé de travail pratique. Cela inclut la possibilité d'accéder à des conseils et des conseils professionnels autour de postuler pour des études universitaires au Royaume-Uni, en particulier à Imperial College London.","6 600 GBP : Le coût du programme résidentiel en 2024 couvrira :* - tous les frais de scolarité; - les matériaux de cours, tels que les matériaux de construction, les fournitures de laboratoire et l'équipement de protection; - les masterclasses; - l'utilisation des installations du campus, telles que les salles de sport, les salles de classe et les services de restauration.; - l'hébergement et le Wi-Fi sur place; - trois repas par jour; - les activités d'initiation et d'orientation; - les activités sociales, y compris les voyages à destination et en provenance d'activités; - le certificat de participation à l'achèvement de l'école d'été, délivré par Imperial; - les célébrations finales; - le service de transfert de salles de réunion et de réception à l'aéroport de Heathrow le premier et le dernier jour.",Non disponible.,
Six Sigma Design & Innovation,"Aarhus, Danemark",Université d'été de l'UA,22 juillet 2024-9 août 2024,anglais,3 semaines,10 CE,EUR 705,15 mars 2024,Marco Ferreira Rodrigues Nogueira Santos,Niveau de maîtrise,,EUR 705: citoyens UE/EEE EUR 2538: citoyens non UE/EEE,Pas de bourses disponibles,
L'apprentissage automatique avec R - Avancé,"St. Gallen, Suisse",GSERM - École mondiale des méthodes de recherche empirique,10 juin 2024-14 juin 2024,anglais,1 semaine,4 CE,CHF 1100.00,30 avril 2024,Brett Lantz,Doctorat postdoctoral professionnel,,CHF 1100: Doctorat CHF 2000: Postdoc.,,
