Name of Program,Place,University,When,Language,Duration,Credits,Fee,Registration deadline,Course leader,Target group,Course aim,Fee info,Scholarships,Credits info
Science des données et intelligence artificielle (août),Londres (Royaume-Uni),École d'été mondiale du Collège Impérial,5 août 2024 - 16 août 2024,changements climatiques,2 semaines,,6 600 livres sterling,4 mai 2024,Institut de la science des données,16 - 17,"Vous aurez la chance de porter vos connaissances sur le sujet à un niveau supérieur grâce à un programme académique stimulant qui équilibre les conférences, les séminaires et un niveau élevé de travail pratique. Cela inclut la possibilité d'accéder à des conseils et des conseils professionnels autour de postuler pour des études universitaires au Royaume-Uni, en particulier à Imperial College London.","6 600 GBP : Le coût du programme résidentiel en 2024 couvrira :* - tous les frais de scolarité; - les matériaux de cours, tels que les matériaux de construction, les fournitures de laboratoire et l'équipement de protection; - les masterclasses; - l'utilisation des installations du campus, telles que les salles de sport, les salles de classe et les services de restauration.; - l'hébergement et le Wi-Fi sur place; - trois repas par jour; - les activités d'initiation et d'orientation; - les activités sociales, y compris les voyages à destination et en provenance d'activités; - le certificat de participation à l'achèvement de l'école d'été, délivré par Imperial; - les célébrations finales; - le service de transfert de salles de réunion et de réception à l'aéroport de Heathrow le premier et le dernier jour.",Non disponible.,
Intelligence artificielle appliquée : créer des résultats commerciaux,Prague (République tchèque),École européenne d'été à Prague,5 août 2024 - 16 août 2024,changements climatiques,2 semaines,10 CE,EUR 950,30 juin 2024,Béla P. Sándor Haarlem University of Applied Science (Lecturer and Entrepreneur) Béla est une stratégie d'affaires et conseiller en affaires numériques dont l'objectif principal est de créer des résultats d'affaires en développant des stratégies d'affaires innovantes.,Groupe cible non limité = étudiants moyens sont de jeunes professionnels et étudiants universitaires. Prérequis Niveau intermédiaire d'anglais (au moins B1/B2),Gestion de l'IA • Gestion de l'IA • Gestion de l'IA • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information • Gestion de l'information et de l'information,"EUR 950: Les frais de cours comprennent les frais de demande, le matériel d'étude, l'après-midi/soir d'activités sociales et d'événements pendant la semaine et le barbecue. Les autres frais, tels que les repas, l'hébergement, l'assurance, les frais personnels, les activités supplémentaires (comme les voyages à l'extérieur de la ville pendant le week-end) ne sont pas inclus dans le prix. Veuillez noter que, après le 30 avril 2024, il y aura des frais d'inscription tardifs à la charge de 50EUR en plus du prix du cours. EUR 247: Les frais d'hébergement pour un séjour de 13 nuits à Botic Student House commencent à 18 EUR/nuit pour une chambre double.",,10 EC 5 EC Vous recevrez un certificat de participation officiel à l'issue de votre cours que vous pourrez utiliser pour démontrer les compétences que vous avez acquises pendant le cours et faire accepter les crédits par votre université d'origine.
Créativité et intelligence artificielle - Junior,Madrid (Espagne),Cours d'été d'IED,1er juillet 2024-19 juillet 2024,changements climatiques,3 semaines,10 CE,EUR 1200,30 juin 2024,,"Pour les personnes âgées de 14 à 18 ans avec un esprit curieux et une mentalité entrepreneuriale, qui veulent explorer le monde de l'intelligence artificielle pour améliorer leurs projets et leurs idées.","Votre apprentissage comprendra le développement pratique et la présentation d'un projet pour lequel, en plus de la direction artistique, vous utiliserez un logiciel spécifique pour la vidéo, le son, la photographie ou l'illustration.",1200 EUR: 1200 EUR,,
Intelligence artificielle dans les applications industrielles,"Aix-la-Chapelle, Allemagne",Académie internationale RWTH,23 juin 2024 - 6 juillet 2024,changements climatiques,2 semaines,3 CE,EUR 1400,30 avril 2024,Votre cours court est principalement dirigé par le Laboratoire de Machine Tools et d'Ingénierie de Production (WZL) de l'Université RWTH. Ce programme a également été développé avec notre partenaire de longue date Mitsubishi Electric Germany.,"Chaque année, nous accueillons des étudiants du monde entier. Vous pouvez faire partie de notre communauté étudiante internationale si vous: - avez au moins 18 ans - dans votre Bachelor's, Master's, entre ou récemment diplômé - êtes compétent en langue anglaise Désirable est une connaissance de base dans les domaines suivants: Conférence „Intelligence Artificielle"" (ou preuve objective d'une connaissance équivalente), intérêt pour la programmation basée sur la logique. Compétences Linux sont bénéfiques. Aucun certificat d'anglais est requis. Nos cours sont tous en anglais et donc une connaissance compétente de l'anglais est importante.","Deep Learning, Python et divers sujets liés à l'industrie 4.0 - Comprendre les concepts clés de l'IA tels que l'apprentissage automatique, l'apprentissage profond, le renforcement de l'apprentissage et le traitement des séries chronologiques - Appliquer l'apprentissage supervisé en qualité prédictive - Effectuer l'intégration de l'information dans les réseaux industriels - Évaluer le potentiel des solutions axées sur les données pour les scénarios industriels - Master programming basics in Python - Sélectionner les techniques d'apprentissage automatique appropriées basées sur les données à portée de main","1400 EUR: Frais de scolarité 850 EUR: Avec notre forfait tout compris, nous offrons à nos participants un séjour insouciant dans la charmante ville historique d'Aix-la-Chapelle. Les frais de programme de chaque programme sur le campus comprennent par exemple: - Hébergement (chambre étudiante partagée) - Petit déjeuner et déjeuner en semaine - Un billet de transport en commun local - Programme de soutien élargi - Soutien personnel des mentors locaux - Contact d'urgence - Certificat de l'Université RWTH d'Aix-la-Chapelle Les inscriptions sont ouvertes dès maintenant!",Notre équipe est heureuse d'annoncer que nous décernons chaque année des bourses d'études pour des programmes d'été sélectionnés sur le campus. Consultez notre site Web pour en savoir plus et voir si vous êtes candidat à une bourse d'études.,"3 EC Jetez un coup d'oeil à la charge de travail de nos cours courts : (1 heure = 45 minutes) Programmes de 2 semaines environ 75 heures Programmes de 3 semaines environ 100 heures Veuillez noter : Tous les cours courts sont des programmes à temps plein! En fin de compte, c'est à votre établissement d'attache qu'il appartient de déterminer le nombre de crédits qui peuvent être accordés."
Intelligence artificielle,Madrid (Espagne),École internationale d'été UPM,22 juillet 2024 - 26 juillet 2024,changements climatiques,1 semaine,2 CE,350 EUR,14 avril 2024,María Poveda & Víctor Rodríguez,Étudiants de premier cycle,Fournir aux étudiants des informations sur les applications technologiques en évolution,350 EUR: frais de scolarité,Les étudiants qui s'inscrivent avant le 29 février seront facturés un taux réduit de 315 euros.,
Approches critiques de l'intelligence artificielle et de la société de réseau,"Barcelone, Espagne",École internationale d'été de Barcelone,1er juillet 2024 - 26 juillet 2024,changements climatiques,4 semaines,6 CE,150 EUR,17 mai 2024,Dr Ian Alan Paul,"Étudiants de premier cycle (Sophomore, Junior et Senior)",,150 EUR: Frais d'inscription (non remboursable) 900 EUR: Frais d'enseignement (non remboursable),Les étudiants non membres de l'UPF provenant d'universités ayant conclu un partenariat d'échange international avec l'UPF seront exemptés du paiement des 150€ de frais d'inscription non remboursables.,
Intelligence artificielle dans les banques et les finances,Anglet (France),École d'été de l'Institut d'analyse des affaires,1er juillet 2024 - 10 juillet 2024,changements climatiques,2 semaines,4 CE,EUR 1395,15 avril 2024,Dr. Lee SCHLENKER,Étudiants de classe supérieure et diplômés en commerce et en génie,"Programme d'été L'école d'été BAI de 2023 se concentrera sur la façon dont les sciences des données façonnent les banques et les technologies financières. Le programme pédagogique comprend des séminaires, des ateliers et des témoignages d'experts pour aider les étudiants et les professionnels en gestion à comprendre les possibilités et les défis de développer leur carrière en sciences des données dans cette industrie hautement compétitive.","EUR 1395: Frais de cours Les frais de base de la session sont de 1395 euros pour les frais de classe, 250 euros pour le budget social et 200 euros pour le logement des étudiants de base. EUR 275: Programme social",Des bourses partielles sont offertes aux membres de la communauté BAI,
L'Intelligence Artificielle Une Introduction Pratique,"Coventry, Royaume-Uni",École d'été de l'Université de Warwick,14 juillet 2024-3 août 2024,changements climatiques,3 semaines,10 CE,2 350 livres sterling,31 mai 2024,"Dr Paolo TurriniLink, Charlie Pilgrim","Il n'y a aucune condition préalable à ce cours, cependant les étudiants doivent garder à l'esprit qu'il s'agit en fin de compte d'un cours technique, où les connaissances mathématiques et de programmation seront fournies. Ce cours est ouvert aux étudiants qui étudient n'importe quelle discipline au niveau universitaire. Nous accueillons des personnes de tous horizons, y compris les étudiants qui étudient actuellement une autre matière mais qui veulent élargir leurs connaissances dans une autre discipline.","Le cours sera une étude des développements les plus importants de l'IA dans des contextes multi-agents, en abordant des thèmes tels que la modélisation des adversaires, les jeux avec des informations imparfaites, l'allocation des ressources, la prise de décision collective et les applications du commerce électronique.",GBP 2350: Tarif étudiant (pour tous les étudiants à temps plein dans une université ou un collège dans le monde entier) GBP 3150: Tarif standard,,"10 crédits CE 3-4 (États-Unis) 7,5 points ECTS (UE)"
Intelligence artificielle + Langue et culture croates,Zagreb et Šibenik (Croatie),École internationale d'été d'Algebra,1er juillet 2024 - 27 juillet 2024,changements climatiques,4 semaines,10 CE,2350 EUR,31 mai 2024,"Leo Mršić, Ph.D., est le chef d'entreprise de haut niveau expérimenté, entrepreneur, professeur de collège, professeur adjoint, expert de cour certifié Témoin avec une expertise approfondie dans l'application de la technologie dans différents domaines des affaires et du gouvernement.",Étudiants inscrits dans l'enseignement supérieur âgés de plus de 18 ans.,"D'une manière générale, nous assistons à une amélioration significative des diverses technologies liées à l'influence de l'IAl, ce qui stimule la demande de savoir non seulement comment utiliser et mettre en œuvre ces technologies, mais aussi comprendre les concepts de base de la façon dont les composants sélectionnés fonctionnent réellement.","2350 EUR: En dehors du module principal sélectionné, les frais de scolarité comprennent également: CULTURAL & SOCIAL PROGRAMME musées exquis, visites historiques, excursions sur le terrain CUISINE CROATIENNE: déjeuner en semaine VISITES D'ENTREPRISE ET LOCAUX DE GUEST Transport à destination et en provenance de Šibenik",,
Intelligence climatique,"Como (CO), Italie",École d'été sur l'intelligence climatique,17 juin 2024 - 20 juin 2024,changements climatiques,1 semaine,,300 EUR,4 mars 2024,Andrea Castelletti,,,300 EUR: Les frais couvrent: toutes les conférences; matériel de cours; connexions wi-fi; déjeuners et pauses café; dîner social. Les frais ne couvrent pas l'hébergement et le voyage.,,
Obtenir International @ HFT Stuttgart / Allemagne,Stuttgart (Allemagne),HFT École d'été de Stuttgart 2024,1er août 2024 - 16 août 2024,changements climatiques,3 semaines,2 CE,EUR 990,31 mai 2024,Membres du personnel de la Hochschule für Technik University of Applied Sciences Stuttgart,"Notre école d'été interdisciplinaire accueille tous les étudiants: - étudiants internationaux du monde entier, d'universités partenaires et d'universités non partenaires - étudiants de HFT Stuttgart - étudiants B.A. et M.A. de tous les programmes d'études dans les domaines d'études.",,"EUR 990: - Etudiants d'une université partenaire de HFT Stuttgart: 990€ - Etudiants d'une université qui n'est pas partenaire de HFT Stuttgart: 1.090€ - Etudiants de HFT Stuttgart: 120€ (logement et transports en commun dans la zone de Stuttgart non inclus) Le prix pour les étudiants internationaux (étudiants non-HFT) comprend: - Hébergement dans une chambre individuelle avec salle de bain partagée, y compris le petit déjeuner à l'Hôtel international d'étudiants Stuttgart pour 15 nuits - Cours de langue allemande, atelier de gestion de projet, supervision du travail en groupe et des visites d'entreprise - Programme culturel à Stuttgart et dans les environs, visite de la ville de Stuttgart, deux excursions/journées dans les villes du sud de l'Allemagne (bus, train, visites guidées, frais d'entrée) - Restauration à l'accueil et aux adieux - Transport public à Stuttgart (02.-16.08.) - Frais d'administration du programme","10 bourses de 400€ chacune seront attribuées à des étudiants internationaux des universités partenaires HFT (soyez rapides, parce que ""premier arrivé, premier servi"": Bourses sont accordées dans l'ordre dans lequel les demandes sont reçues)","2 Certificat CE de participation et 2 points de crédit avec participation réussie, aucun classement possible"
Introduction à l'intelligence artificielle,"Utrecht, Pays-Bas",École d'été d'Utrecht,15 juillet 2024 - 19 juillet 2024,changements climatiques,1 semaine,2 CE,740 EUR,15 juin 2024,"Sieuwert van Otterloo, Ph.D.",Il est nécessaire d'avoir une expérience de mathématiques de base (algèbre linéaire) et des compétences en informatique. Le cours comprend des sessions pratiques où les étudiants utiliseront Python et Jupyter portable pour accomplir des tâches. Notez que les étudiants devraient apporter leur propre ordinateur portable.,Le but du cours est de donner aux étudiants ayant une formation en affaires ou en sciences une compréhension de l'intelligence artificielle et de les aider à développer des systèmes d'IA de base.,"EUR 740: Matériel de cours + matériel de cours Si vous êtes étudiant, vous recevrez une remise et payerez un prix de cours de € 590. EUR 250: Frais de logement (facultatif)",,
Intelligence artificielle et apprentissage de la machine: théorie et pratique,"Oxford, Royaume-Uni","Lady Margaret Hall, Université d'Oxford",24 juin 2024-12 juillet 2024,changements climatiques,3 semaines,7.5 CE,1 360 livres sterling,10 juin 2024,,"Ce cours serait adapté aux étudiants STEM dans les études de premier cycle ou de premier niveau de troisième cycle. Connaissance de base de calcul et d'algèbre linéaire est nécessaire, et une certaine expérience de codage est recommandée. Expérience préalable de l'intelligence artificielle, l'apprentissage automatique, ou le langage de programmation Python n'est pas nécessaire.","À la fin de ce cours, vous allez : - comprendre les concepts théoriques de l'intelligence artificielle et de l'apprentissage machine. - savoir comment l'intelligence artificielle de base et les outils d'apprentissage machine sont utilisés dans la pratique. - savoir mettre en œuvre des algorithmes de base et former de petits réseaux pour des problèmes pratiques. - être capable d'identifier et d'utiliser l'intelligence artificielle pertinente et les outils d'apprentissage machine dans la recherche. - savoir mettre en œuvre et déployer des algorithmes d'intelligence artificielle et d'apprentissage machine sur Google Cloud.","GBP 1360: Ce montant comprend: - Tous les frais de scolarité, y compris les conférences, séminaires et tutoriels. - Évaluation, transcription des performances académiques et certificat. - Accès à la plate-forme d'apprentissage à distance des programmes d'été de la LMH. - Soutien du coordonnateur dédié de l'apprentissage à distance.",,"7.5 Les programmes d'été EC LMH sont conçus pour être éligibles au crédit, et nous recommandons l'attribution de 7.5 ECTS / 4 US / 15 CATS pour ce cours."
Apprentissage profond,"Amsterdam, Pays-Bas",Tinbergen Institute & Business Data Science Summer School,15 juillet 2024 - 19 juillet 2024,changements climatiques,1 semaine,3 CE,1000 EUR,17 juin 2024,"Eran Raviv est titulaire d'un doctorat en économétrie de l'Université Erasmus de Rotterdam, d'un master en statistique appliquée de l'Université de Tel-Aviv et d'un deuxième master en finance quantitative de l'Université Erasmus de Rotterdam.","Niveau Le cours d'été accueille des étudiants de maîtrise et de doctorat, des diplômés, des professionnels de l'économie et des domaines connexes, qui s'intéressent à l'apprentissage profond. Le niveau est introductif, destiné aux participants qui souhaitent se familiariser avec le sujet, et acquérir une bonne base pour aborder les applications de potentiel d'apprentissage profond.",Les participants qui ont rejoint au moins 80 % de toutes les sessions et remis à l'affectation recevront un certificat de participation indiquant que l'école d'été est équivalente à une charge de travail de 3 ECTS. Notez que c'est à l'étudiant qu'il incombe de faire inscrire ces crédits à leur université.,"EUR 1000: Doctorat et Master Étudiants € 1.000 Les frais de cours couvrent les frais de scolarité, le matériel pédagogique, les déjeuners quotidiens et le café/thé pendant les pauses courtes, l'événement social incluant un dîner et des boissons d'adieu. EUR 2000: Academics (y compris postdocs) et Professionals € 2.000 Les frais de cours couvrent les frais de scolarité, le matériel pédagogique, les déjeuners quotidiens et le café/thé pendant les pauses courtes, l'événement social incluant un dîner et des boissons d'adieu. Les frais de cours ne comprennent pas l'hébergement.",,3 Les participants d'EC qui ont rejoint au moins 80 % de toutes les sessions et remis à l'affectation recevront un certificat de participation indiquant que l'école d'été est équivalente à une charge de travail de 3 ECTS. Notez qu'il est de la responsabilité de l'étudiant de faire inscrire ces crédits à leur université.
